Title,Platform,Year,Price (original),Etiqueta,Discount %,Price (discount),Category,Publisher,PEGI,PEGI content descriptors
Super Mario All-Stars,SNES,1993,"32,85",,,,Platform,Nintendo,7,
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,"29.99",,,,Role-Playing,Nintendo,7,
Super Mario 64,DS,2004,"18.99",,,,Platform,Nintendo,7,
Just Dance 3,Wii,2011,"21.95",,,,Misc,Ubisoft,3,suitable for kids
Call of Duty: Ghosts,X360,2013,"14.95",,,,Shooter,Activision,16,realistic violence
Halo: Reach,X360,2010,"28.95",SUPER,10,"  26.06   ",Shooter,Microsoft Game Studios,16,realistic violence
Mario Kart 64,N64,1996,"19.99",,,,Racing,Nintendo,12,non-realistic violence
New Super Mario Bros. 2,3DS,2012,"12.99",,,,Platform,Nintendo,7,
Halo 4,X360,2012,"19.99",,,,Shooter,Microsoft Game Studios,16,realistic violence
Final Fantasy VII,PS,1997,"49.99",SUPER,10,"  44.99   ",Role-Playing,Sony Computer Entertainment,7,
Call of Duty: Ghosts,PS3,2013,"39.99",,,,Shooter,Activision,7,
Just Dance 2,Wii,2010,"19.99",,,,Misc,Ubisoft,3,suitable for kids
Gran Turismo 2,PS,1999,"19.99",,,,Racing,Sony Computer Entertainment,12,non-realistic violence
Call of Duty 4: Modern Warfare,X360,2007,"14.99",,,,Shooter,Activision,16,realistic violence
Donkey Kong Country,SNES,1994,"9.99",,,,Platform,Nintendo,7,
Minecraft,X360,2013,"9.99",,,,Misc,Microsoft Game Studios,,
Animal Crossing: New Leaf,3DS,2012,"29.99",MEGA,20,"  23.99   ",Simulation,Nintendo,3,suitable for kids
Mario Party DS,DS,2007,"4.99",,,,Misc,Nintendo,3,suitable for kids
The Elder Scrolls V: Skyrim,X360,2011,"14.99",,,,Role-Playing,Bethesda Softworks,12,non-realistic violence
Super Mario Kart,SNES,1992,"6.99",,,,Racing,Nintendo,7,
FIFA 16,PS4,2015,"9.99",SUPER,10,"  8.99   ",Sports,Electronic Arts,7,
Wii Party,Wii,2010,"3.95",,,,Misc,Nintendo,3,suitable for kids
Halo 2,XB,2004,"29.99",PACK 2 ,,,Shooter,Microsoft Game Studios,16,realistic violence
Mario Party 8,Wii,2007,"19.99",,,,Misc,Nintendo,7,
Pokemon Black 2/Pokemon White 2,DS,2012,"24.99",,,,Role-Playing,Nintendo,7,
FIFA Soccer 13,PS3,2012,"9.99",,,,Action,Electronic Arts,7,
The Sims 3,PC,2009,"8.99",,,,Simulation,Electronic Arts,12,non-realistic violence
GoldenEye 007,N64,1997,"12.99",,,,Shooter,Nintendo,12,non-realistic violence
Mario & Sonic at the Olympic Games,Wii,2007,"24.99",PACK 2,,,Sports,Sega,7,
Final Fantasy X,PS2,2001,"24.99",,,,Role-Playing,Sony Computer Entertainment,12,non-realistic violence
Final Fantasy VIII,PS,1999,"49.99",SUPER,10,"  44.99   ",Role-Playing,SquareSoft,12,non-realistic violence
Pokémon Platinum Version,DS,2008,"8.99",,,,Role-Playing,Nintendo,7,
Pac-Man,2600,1982,"12.99",,,,Puzzle,Atari,3,suitable for kids
Grand Theft Auto: Liberty City Stories,PSP,2005,"12.99",PACK 2,,,Action,Take-Two Interactive,12,non-realistic violence
Super Mario Galaxy 2,Wii,2010,"19.99",,,,Platform,Nintendo,7,
Star Wars Battlefront (2015),PS4,2015,"49.99",,,,Shooter,Electronic Arts,12,non-realistic violence
Call of Duty: Advanced Warfare,PS4,2014,"39.99",MEGA,20,"  31.99   ",Shooter,Activision,12,non-realistic violence
The Legend of Zelda: Ocarina of Time,N64,1998,"19.99",PACK 2,,,Action,Nintendo,7,
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,"14.95",MEGA,20,"  11.96  ",Platform,Sony Computer Entertainment,7,
Super Mario Bros. 2,NES,1988,"12.95",PACK 2,,,Platform,Nintendo,7,
Super Smash Bros. for Wii U and 3DS,3DS,2014,"29.99",,,,Fighting,Nintendo,12,non-realistic violence
